listing_id,property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set
a9716459-29fe-4f0d-b57d-27fe0ff99775,1723159b-bdc6-48d8-8cde-1f15f9e2ad23,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,,,,,,,
2d2a28f5-7a55-43ec-a2cc-994976f35307,,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,,,,,,,
468ff982-aab6-473e-8c44-3e6fb76adb6e,,701addba-6c35-4e98-bb74-267194c36789,1043 Nolan Ln,,,,,1043 Nolan Ln,1043 ln nolan
e5265499-eacd-4371-9036-4cc7f975f3b7,,701addba-6c35-4e98-bb74-267194c36789,2055 Jamie Dr,,,,,2055 Jamie Dr,2055 dr jamie
fe44b720-fc30-4605-ada4-85b29a695345,,701addba-6c35-4e98-bb74-267194c36789,2317 Belin Dr,,,,,2317 Belin Dr,2317 belin dr
cc22d12a-dcfb-40de-ba8e-b1f73ff64fde,,701addba-6c35-4e98-bb74-267194c36789,2716 Arbor Ln Dr,,,,,2716 Arbor Ln Dr,2716 arbor dr ln
b8593c53-0f22-4922-b6ef-7a7be78f6d50,,701addba-6c35-4e98-bb74-267194c36789,2738 Arbor Lane Dr.,,,,,2738 Arbor Lane Dr.,2738 arbor dr. lane
de3f3720-ed0a-446e-9312-58edd55faa84,7446f38e-0a46-438c-9f03-7ee62c8f3a8d,701addba-6c35-4e98-bb74-267194c36789,3131 Faxon Avenue,,,,,3131 Faxon Avenue,3131 avenue faxon
cbe37f50-47f2-44e3-bae8-b81c84888ab3,3e32d4a2-b7d3-4141-95ac-71cc7e7cc543,701addba-6c35-4e98-bb74-267194c36789,3490 Ardmore,,,,,3490 Ardmore,3490 ardmore
28e43aaa-d9c2-4faa-a84b-f024b6298461,37494d3f-fcd8-42d4-a22b-1e81d84b7c94,701addba-6c35-4e98-bb74-267194c36789,3878 Sybil St.,,,,,3878 Sybil St.,3878 st. sybil
01a53010-ddec-465a-a5a7-8461472779d8,,701addba-6c35-4e98-bb74-267194c36789,3878 Sybil St.,,,,,3878 Sybil St.,3878 st. sybil
e91f2983-a86c-43a5-9d45-a438b40d8fb2,39d02dce-7c4d-4aa3-b93f-139c7c90a135,701addba-6c35-4e98-bb74-267194c36789,4145 Print Ave,,,,,4145 Print Ave,4145 ave print
89b30830-25a1-4937-a155-97ad3f831b48,a6402c25-9fb2-42d0-a24d-90bf081c1611,701addba-6c35-4e98-bb74-267194c36789,7009 Crestridge Rd,,,,,7009 Crestridge Rd,7009 crestridge rd
e9f49122-4078-42b0-a444-ccdc1e60e4b0,5fa84fe2-7dbb-481a-9a8f-94f1f06fe295,701addba-6c35-4e98-bb74-267194c36789,722 Loeb St.,,,,,722 Loeb St.,722 loeb st.
518f5942-ccbc-4acc-a5ca-61ae755bf70c,afd79a83-6239-4470-9082-220c95ff8c3f,701addba-6c35-4e98-bb74-267194c36789,7944 Anne's Cir,,,,,7944 Anne's Cir,7944 anne's cir
df61974c-853b-452f-9bed-3d7523f7d0e2,96706e95-eb94-443e-bc22-15ab71d290b8,701addba-6c35-4e98-bb74-267194c36789,919 Stratford Rd,,,,,919 Stratford Rd,919 rd stratford
b0ba124e-5347-40d2-8b82-9863eedbf378,,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,18,101 *FOR SALE,,,,18   101 *FOR SALE,*for 101 18 sale
dc354ded-2e1a-49db-9013-0a873bb23269,2703fe92-9cfb-417b-ac34-e2805b01609c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,18,101 *FOR SALE,,,,18   101 *FOR SALE,*for 101 18 sale
c585c720-6a9f-4039-becc-9fbb51e36156,,2602ea94-7587-4182-8a51-4bfaa4495581,,"Bedroom Home Near the Old Mill""",,,,"Bedroom Home Near the Old Mill""","bedroom home mill"" near old the"
e1167186-d636-46e9-8736-8d9a99770203,168f41a9-5dac-411f-b23b-e3d19f175cc6,2602ea94-7587-4182-8a51-4bfaa4495581,,"Bedroom Home Near the Old Mill""",,,,"Bedroom Home Near the Old Mill""","bedroom home mill"" near old the"
615e5075-a7ef-46d2-8742-8d1e3907df78,6291c42d-a0ee-475e-a84b-e34a882258a7,2602ea94-7587-4182-8a51-4bfaa4495581,,Bedroom Dwelling in Bend – 1075 Sq...,,,,Bedroom Dwelling in Bend – 1075 Sq...,1075 bedroom bend dwelling in sq... –
1ef6b0d0-e65d-4128-a442-a3463d97704d,,22b1e70c-7d93-4b79-862a-dd6c09db3744,0 Ledbetter Dr,"2603, Dallas, TX, 75216",,,,"0 Ledbetter Dr   2603, Dallas, TX, 75216","0 2603, 75216 dallas, dr ledbetter tx,"
1c965d5a-f07a-4907-920e-caa01c1a7d39,b0d0046f-fcf2-4649-b095-dbf67bd9005d,22b1e70c-7d93-4b79-862a-dd6c09db3744,0 Ledbetter Dr,"2603, Dallas, TX, 75216",,,,"0 Ledbetter Dr   2603, Dallas, TX, 75216","0 2603, 75216 dallas, dr ledbetter tx,"
8e670079-039d-48af-af16-bb33de24df0e,344a8dc0-fdfa-4292-9e95-1bed36963d5c,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
1491687c-3b96-49e6-97cb-438762e95dad,,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
8be54e22-933b-48cc-8d01-b41d113d9cbe,8724602c-403c-46d7-bbaf-fef0a04c2259,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
fdbd9343-60b4-4d4c-b71a-29d314c83e9f,3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,"144-2600 Arroyo Ave, Dallas, TX, 75219",,,,"144-2600 Arroyo Ave, Dallas, TX, 75219","144-2600 75219 arroyo ave, dallas, tx,"
e2fe87db-8669-4bab-8a86-737cc1a8cc04,,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,147-2600 Arroyo Ave,,,,147-2600 Arroyo Ave,147-2600 arroyo ave
