property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set
1723159b-bdc6-48d8-8cde-1f15f9e2ad23,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,,,,,,,
,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,,,,,,,
,701addba-6c35-4e98-bb74-267194c36789,1043 Nolan Ln,,,,,1043 Nolan Ln,1043 ln nolan
,701addba-6c35-4e98-bb74-267194c36789,2055 Jamie Dr,,,,,2055 Jamie Dr,2055 dr jamie
,701addba-6c35-4e98-bb74-267194c36789,2317 Belin Dr,,,,,2317 Belin Dr,2317 belin dr
,701addba-6c35-4e98-bb74-267194c36789,2716 Arbor Ln Dr,,,,,2716 Arbor Ln Dr,2716 arbor dr ln
,701addba-6c35-4e98-bb74-267194c36789,2738 Arbor Lane Dr.,,,,,2738 Arbor Lane Dr.,2738 arbor dr. lane
7446f38e-0a46-438c-9f03-7ee62c8f3a8d,701addba-6c35-4e98-bb74-267194c36789,3131 Faxon Avenue,,,,,3131 Faxon Avenue,3131 avenue faxon
3e32d4a2-b7d3-4141-95ac-71cc7e7cc543,701addba-6c35-4e98-bb74-267194c36789,3490 Ardmore,,,,,3490 Ardmore,3490 ardmore
37494d3f-fcd8-42d4-a22b-1e81d84b7c94,701addba-6c35-4e98-bb74-267194c36789,3878 Sybil St.,,,,,3878 Sybil St.,3878 st. sybil
,701addba-6c35-4e98-bb74-267194c36789,3878 Sybil St.,,,,,3878 Sybil St.,3878 st. sybil
39d02dce-7c4d-4aa3-b93f-139c7c90a135,701addba-6c35-4e98-bb74-267194c36789,4145 Print Ave,,,,,4145 Print Ave,4145 ave print
a6402c25-9fb2-42d0-a24d-90bf081c1611,701addba-6c35-4e98-bb74-267194c36789,7009 Crestridge Rd,,,,,7009 Crestridge Rd,7009 crestridge rd
5fa84fe2-7dbb-481a-9a8f-94f1f06fe295,701addba-6c35-4e98-bb74-267194c36789,722 Loeb St.,,,,,722 Loeb St.,722 loeb st.
afd79a83-6239-4470-9082-220c95ff8c3f,701addba-6c35-4e98-bb74-267194c36789,7944 Anne's Cir,,,,,7944 Anne's Cir,7944 anne's cir
96706e95-eb94-443e-bc22-15ab71d290b8,701addba-6c35-4e98-bb74-267194c36789,919 Stratford Rd,,,,,919 Stratford Rd,919 rd stratford
,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,18,101 *FOR SALE,,,,18   101 *FOR SALE,*for 101 18 sale
2703fe92-9cfb-417b-ac34-e2805b01609c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,18,101 *FOR SALE,,,,18   101 *FOR SALE,*for 101 18 sale
,2602ea94-7587-4182-8a51-4bfaa4495581,,"Bedroom Home Near the Old Mill""",,,,"Bedroom Home Near the Old Mill""","bedroom home mill"" near old the"
168f41a9-5dac-411f-b23b-e3d19f175cc6,2602ea94-7587-4182-8a51-4bfaa4495581,,"Bedroom Home Near the Old Mill""",,,,"Bedroom Home Near the Old Mill""","bedroom home mill"" near old the"
6291c42d-a0ee-475e-a84b-e34a882258a7,2602ea94-7587-4182-8a51-4bfaa4495581,,Bedroom Dwelling in Bend – 1075 Sq...,,,,Bedroom Dwelling in Bend – 1075 Sq...,1075 bedroom bend dwelling in sq... –
,22b1e70c-7d93-4b79-862a-dd6c09db3744,0 Ledbetter Dr,"2603, Dallas, TX, 75216",,,,"0 Ledbetter Dr   2603, Dallas, TX, 75216","0 2603, 75216 dallas, dr ledbetter tx,"
b0d0046f-fcf2-4649-b095-dbf67bd9005d,22b1e70c-7d93-4b79-862a-dd6c09db3744,0 Ledbetter Dr,"2603, Dallas, TX, 75216",,,,"0 Ledbetter Dr   2603, Dallas, TX, 75216","0 2603, 75216 dallas, dr ledbetter tx,"
344a8dc0-fdfa-4292-9e95-1bed36963d5c,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
8724602c-403c-46d7-bbaf-fef0a04c2259,a47a5a72-b1e8-41f0-b918-ff11524c1310,1 Bed,,,,,1 Bed,1 bed
3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,"144-2600 Arroyo Ave, Dallas, TX, 75219",,,,"144-2600 Arroyo Ave, Dallas, TX, 75219","144-2600 75219 arroyo ave, dallas, tx,"
,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,147-2600 Arroyo Ave,,,,147-2600 Arroyo Ave,147-2600 arroyo ave
,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,228-2600 Arroyo Ave,,,,228-2600 Arroyo Ave,228-2600 arroyo ave
3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,"228-2600 Arroyo Ave, Dallas, TX, 75219",,,,"228-2600 Arroyo Ave, Dallas, TX, 75219","228-2600 75219 arroyo ave, dallas, tx,"
3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003,,"230-2600 Arroyo Ave, Dallas, TX, 75219",,,,"230-2600 Arroyo Ave, Dallas, TX, 75219","230-2600 75219 arroyo ave, dallas, tx,"
d8af8368-cd2c-463c-b33e-15ed0c4b5594,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
d419c547-0f4a-4fb5-89ab-b28226222193,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
e123760d-cd1a-489f-a866-5e42bfebcc24,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
95d70725-0aa8-4290-93de-1f2f5765ee63,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
4b82d9ce-7864-4c88-a4ab-c3f25bd60648,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
19886ffd-5af5-4a6e-a856-0ff9c204d059,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
60205c8a-9867-4d04-9d3e-cc664557c97c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
e857f364-2c5b-4af2-9602-5c45286ace0a,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
cae2bbe7-0828-4bf7-88b6-a6321113bbc2,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
0ecc0e3c-e515-424e-8ec2-cf369222713d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,100 630,,,,,100 630,100 630
04f0fee5-a2b4-48bc-9743-e6a2da086795,685e0d3a-257a-49d4-ba42-cd4ffedb219e,10011 Everton Pl,,,,,10011 Everton Pl,10011 everton pl
,a8980a28-d78f-447f-bba4-1715e30c8615,10015 Alondra Blvd,,,,,10015 Alondra Blvd,10015 alondra blvd
,a8980a28-d78f-447f-bba4-1715e30c8615,10015 Alondra Blvd,,,,,10015 Alondra Blvd,10015 alondra blvd
,a8980a28-d78f-447f-bba4-1715e30c8615,10015A Alondra Blvd,,,,,10015A Alondra Blvd,10015a alondra blvd
62fe39e1-5c0a-440f-9cbb-99e3158cecce,10ce2520-f333-48f4-b52c-110482d3e139,1002 Lauren Cir,,,,,1002 Lauren Cir,1002 cir lauren
4038d19b-68cc-42b5-a0f9-438a5e81be07,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,,,,,10069 Standifer Gap Rd,10069 gap rd standifer
6c4267f1-f128-42ad-9520-239e4aec1713,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,,,,,10069 Standifer Gap Rd,10069 gap rd standifer
,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,,,,,10069 Standifer Gap Rd,10069 gap rd standifer
236ecbd1-0fb7-42ec-a2af-bb3abafc7d04,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,,,,,10069 Standifer Gap Rd,10069 gap rd standifer
,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,A,,,,10069 Standifer Gap Rd   A,10069 a gap rd standifer
4038d19b-68cc-42b5-a0f9-438a5e81be07,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,A,,,,10069 Standifer Gap Rd   A,10069 a gap rd standifer
,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,"A, Ooltewah, TN, 37363",,,,"10069 Standifer Gap Rd   A, Ooltewah, TN, 37363","10069 37363 a, gap ooltewah, rd standifer tn,"
47864404-006d-4733-b8db-b6b3303f9d8a,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,B,,,,10069 Standifer Gap Rd   B,10069 b gap rd standifer
,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,B,,,,10069 Standifer Gap Rd   B,10069 b gap rd standifer
236ecbd1-0fb7-42ec-a2af-bb3abafc7d04,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,C,,,,10069 Standifer Gap Rd   C,10069 c gap rd standifer
236ecbd1-0fb7-42ec-a2af-bb3abafc7d04,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,"C, Ooltewah, TN, 37363",,,,"10069 Standifer Gap Rd   C, Ooltewah, TN, 37363","10069 37363 c, gap ooltewah, rd standifer tn,"
,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,"C, Ooltewah, TN, 37363",,,,"10069 Standifer Gap Rd   C, Ooltewah, TN, 37363","10069 37363 c, gap ooltewah, rd standifer tn,"
4038d19b-68cc-42b5-a0f9-438a5e81be07,10ce2520-f333-48f4-b52c-110482d3e139,10069 Standifer Gap Rd,,,,,10069 Standifer Gap Rd,10069 gap rd standifer
