name,street_address,unit,city,state,zipcode,type,property_id,team_id
Blackstone Farms 2-404,1341 S Spring Creek Dr 404,,Provo,UT,84606,Condo,9a70b3b7-58bc-4db6-8f96-df73ef3ec82e,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 21-203,1133 E 1500 S 203,,Provo,UT,84606,Condo,1de0351d-28d5-435e-a1bc-53cecb64222b,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 21-303,1133 E 1500 S 303,,Provo,UT,84606,Condo,473357dd-18a4-4c4b-bffd-6e8d8852d5e4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 22-204,1133 E 1500 S 204,,Provo,UT,84606,Condo,6a824dba-0cb3-453a-82a7-a3ac82267ccc,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 23-301,1133 E 1500 S 301,,Provo,UT,84606,Condo,7d162484-5fd7-4e32-af84-bb0b6b149a9c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
"Blackstone Farms in Provo: 2-Bed, 2-Bath",1341 S Spring Creek Dr,,Provo,UT,84606,,0685282d-0348-437f-ab67-c80115459cdb,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
"Blackstone Farms in Provo: ADA 2-Bed, 2-Bath",1512 S State St,,Provo,UT,84606,,08ec9f52-a6a0-4147-b477-eb808c786604,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 24-102,1133 E 1500 S 102,,Provo,UT,84606,Condo,7198a10f-a359-4af6-a482-074df24ee0b4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 24-302,1133 E 1500 S 302,,Provo,UT,84606,Condo,ddf4728a-d856-4f36-8358-29c8928a65f2,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Village on 4th,600 W 400 S,,Springville,UT,84663,Condo,8ab326d1-7dfc-4cc4-af4e-43ae2a683bed,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Pineridge Farms,388 W 650 N,,Payson,UT,84651,Condo,e8f68dcf-abea-4d77-bb65-51cf8df2e523,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
"The Meadows in Provo: 2-Bed, 2-Bath Condo",700 S Meadow Dr,,Provo,UT,84601,Condo,5389fd41-4498-4874-8647-400b71d15985,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Overlook In Herriman 34-A,14439 S Ashgrove Ct,,Herriman,UT,84096,,09c3677b-5388-4fb0-92d8-6ddc3abbe22d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
"The Village on Greenway El Mirage: 2-Bed, 2-Bath -1st floor",12945 W Greenway Rd,A101,El Mirage,AZ,85335,,f7d5b9eb-5629-4a3b-b988-12bdef09b0d0,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Boulders in Herriman: 2-Story Delinda w/Basement,14967 S Lost Miner Ln,,Herriman,UT,84096,,2a2fd3f9-8eeb-4810-8a21-c03c0542b5f8,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 25-303,1177 E 1500 S 303,,Provo,UT,84606,Condo,af4d00e8-4788-4b56-b13f-64cb805cbef1,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Abington Heights Townhomes,3706 S - 1920 W,7,Roy,UT,84067,Townhouse,bb3bd95c-7726-4c07-978f-b52717d56fae,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Tucker Row in Vineyard: 3-Story Payton V3,687 N 190 E,,Vineyard,UT,84059,Townhouse,0835160c-9f83-43f6-9bf7-84783a559db4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Payton's Quarry in Herriman: 3-Story,W Miner View Ln,,Herriman,UT,84096,Townhouse,251722c1-3623-4eb3-ac36-32ac610c4065,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 26-104,1177 E 1500 S 104,,Provo,UT,84606,Condo,c5de644d-c1da-4bcb-8439-796896eba8a7,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 26-204,1177 E 1500 S 204,,Provo,UT,84606,Condo,35f60abb-0db2-4a54-9d1d-bb1fe9bf8c16,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 27-201,1177 E 1500 S 201,,Provo,UT,84606,Condo,b30ca896-b662-420b-a781-d2c3f1169439,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 27-301,1177 E 1500 S 301,,Provo,UT,84606,Condo,c92c1aa7-c520-43ee-8f33-7ac565a8f3a9,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 28-202,1177 E 1500 S 202,,Provo,UT,84606,Condo,2b7b8e4c-43c4-4b60-8e1c-8cadf2e76982,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 28-302,1177 E 1500 S 302,,Provo,UT,84606,Condo,3c38c2a2-9058-495b-b033-a56db36aadca,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 28-402,1177 E 1500 S 402,,Provo,UT,84606,Condo,19935805-ac14-4983-939e-7899dc22c8db,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 29-103,1229 E 1500 S 103,,Provo,UT,84606,Condo,1736a393-d638-4c85-a1ed-df5883b86657,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 29-203,1229 E 1500 S 203,,Provo,UT,84606,Condo,2a8d4042-40ed-4d54-906b-6db1f3b87adc,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 29-303,1229 E 1500 S 303,,Provo,UT,84606,Condo,f5dd5406-1413-4316-9569-c3c93a5eada8,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 29-403,1229 E 1500 S 403,,Provo,UT,84606,Condo,0700dbc3-19c1-443f-ba1f-29fe0a3b006e,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 3-201,1341 S Spring Creek Dr 201,,Provo,UT,84606,Condo,2ea85779-0d7f-4c96-a93c-0309dc2558eb,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 3-301,1341 S Spring Creek Dr 301,,Provo,UT,84606,Condo,0664a7e1-61a5-438c-938b-2da43168d52a,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 30-104,1229 E 1500 S 104,,Provo,UT,84606,Condo,183fd737-9c4d-47c8-acc1-be969a22eeb0,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Boulders in Herriman: 2-Story,14941 S Tumble Rock Way,,Herriman,UT,84096,House,bd39c949-6380-4622-bd67-6a520cf30f80,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Porter's Crossing in Eagle Mountain: 2-Story,8163 N Calf Creek Ln,,Eagle Mountain,UT,84005,House,d4aee9b5-d0a4-4e77-b417-f2c2d4c4d406,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Overlook in Herriman: 3-Story,14394 S Firgrove Way,,Herriman,UT,84096,House,48977b79-af2e-44d6-bc8f-c6e8bb6a43d4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
The Overlook in Herriman: 2-Story,West Ashburn Way,,Herriman,UT,84096,House,7f6e4cae-49dc-4276-a19f-29b6a1b94bf7,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 30-304,1229 E 1500 S 304,,Provo,UT,84606,Condo,f7608a91-a00c-4632-b74a-e08cb2ca04c3,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
Blackstone Farms 30-404,1229 E 1500 S 404,,Provo,UT,84606,Condo,c2cc84a0-4a60-44bd-b85d-c7d269fbd6a9,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
