property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
9a70b3b7-58bc-4db6-8f96-df73ef3ec82e,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1341 Spring Creek Dr,,Provo,UT,84606,1341 Spring Creek Dr Provo UT 84606,1341 84606 creek dr provo spring ut,Condo
1de0351d-28d5-435e-a1bc-53cecb64222b,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
473357dd-18a4-4c4b-bffd-6e8d8852d5e4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
6a824dba-0cb3-453a-82a7-a3ac82267ccc,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
7d162484-5fd7-4e32-af84-bb0b6b149a9c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
0685282d-0348-437f-ab67-c80115459cdb,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1341 Spring Creek Dr,,Provo,UT,84606,1341 Spring Creek Dr Provo UT 84606,1341 84606 creek dr provo spring ut,
08ec9f52-a6a0-4147-b477-eb808c786604,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1512 State St,,Provo,UT,84606,1512 State St Provo UT 84606,1512 84606 provo st state ut,
7198a10f-a359-4af6-a482-074df24ee0b4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
ddf4728a-d856-4f36-8358-29c8928a65f2,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1133 1500,,Provo,UT,84606,1133 1500 Provo UT 84606,1133 1500 84606 provo ut,Condo
8ab326d1-7dfc-4cc4-af4e-43ae2a683bed,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,600 400,,Springville,UT,84663,600 400 Springville UT 84663,400 600 84663 springville ut,Condo
e8f68dcf-abea-4d77-bb65-51cf8df2e523,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,388 650,,Payson,UT,84651,388 650 Payson UT 84651,388 650 84651 payson ut,Condo
5389fd41-4498-4874-8647-400b71d15985,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,700 Meadow Dr,,Provo,UT,84601,700 Meadow Dr Provo UT 84601,700 84601 dr meadow provo ut,Condo
09c3677b-5388-4fb0-92d8-6ddc3abbe22d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,14439 Ashgrove Ct,,Herriman,UT,84096,14439 Ashgrove Ct Herriman UT 84096,14439 84096 ashgrove ct herriman ut,
f7d5b9eb-5629-4a3b-b988-12bdef09b0d0,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,12945 Greenway Rd,,El Mirage,AZ,85335,12945 Greenway Rd El Mirage AZ 85335,12945 85335 az el greenway mirage rd,
2a2fd3f9-8eeb-4810-8a21-c03c0542b5f8,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,14967 Lost Miner Ln,,Herriman,UT,84096,14967 Lost Miner Ln Herriman UT 84096,14967 84096 herriman ln lost miner ut,
af4d00e8-4788-4b56-b13f-64cb805cbef1,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
bb3bd95c-7726-4c07-978f-b52717d56fae,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,3706,1920 W,Roy,UT,84067,3706 Roy UT 84067,3706 84067 roy ut,Townhouse
0835160c-9f83-43f6-9bf7-84783a559db4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,687 190,,Vineyard,UT,84059,687 190 Vineyard UT 84059,190 687 84059 ut vineyard,Townhouse
251722c1-3623-4eb3-ac36-32ac610c4065,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,Miner View Ln,,Herriman,UT,84096,Miner View Ln Herriman UT 84096,84096 herriman ln miner ut view,Townhouse
c5de644d-c1da-4bcb-8439-796896eba8a7,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
35f60abb-0db2-4a54-9d1d-bb1fe9bf8c16,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
b30ca896-b662-420b-a781-d2c3f1169439,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
c92c1aa7-c520-43ee-8f33-7ac565a8f3a9,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
2b7b8e4c-43c4-4b60-8e1c-8cadf2e76982,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
3c38c2a2-9058-495b-b033-a56db36aadca,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
19935805-ac14-4983-939e-7899dc22c8db,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1177 1500,,Provo,UT,84606,1177 1500 Provo UT 84606,1177 1500 84606 provo ut,Condo
1736a393-d638-4c85-a1ed-df5883b86657,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
2a8d4042-40ed-4d54-906b-6db1f3b87adc,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
f5dd5406-1413-4316-9569-c3c93a5eada8,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
0700dbc3-19c1-443f-ba1f-29fe0a3b006e,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
2ea85779-0d7f-4c96-a93c-0309dc2558eb,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1341 Spring Creek Dr,,Provo,UT,84606,1341 Spring Creek Dr Provo UT 84606,1341 84606 creek dr provo spring ut,Condo
0664a7e1-61a5-438c-938b-2da43168d52a,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1341 Spring Creek Dr,,Provo,UT,84606,1341 Spring Creek Dr Provo UT 84606,1341 84606 creek dr provo spring ut,Condo
183fd737-9c4d-47c8-acc1-be969a22eeb0,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
bd39c949-6380-4622-bd67-6a520cf30f80,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,14941 Tumble Rock Way,,Herriman,UT,84096,14941 Tumble Rock Way Herriman UT 84096,14941 84096 herriman rock tumble ut way,House
d4aee9b5-d0a4-4e77-b417-f2c2d4c4d406,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,8163 Calf Creek Ln,,Eagle Mountain,UT,84005,8163 Calf Creek Ln Eagle Mountain UT 84005,8163 84005 calf creek eagle ln mountain ut,House
48977b79-af2e-44d6-bc8f-c6e8bb6a43d4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,14394 Firgrove Way,,Herriman,UT,84096,14394 Firgrove Way Herriman UT 84096,14394 84096 firgrove herriman ut way,House
7f6e4cae-49dc-4276-a19f-29b6a1b94bf7,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,Ashburn Way,,Herriman,UT,84096,Ashburn Way Herriman UT 84096,84096 ashburn herriman ut way,House
f7608a91-a00c-4632-b74a-e08cb2ca04c3,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
c2cc84a0-4a60-44bd-b85d-c7d269fbd6a9,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
560921dd-6380-4874-a4c5-5f1ba86c62d5,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
939cf0be-9a38-4fef-bd57-246b66299b34,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1229 1500,,Provo,UT,84606,1229 1500 Provo UT 84606,1229 1500 84606 provo ut,Condo
c92ac348-0d66-45db-b92e-b09639a60636,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1261 1500,,Provo,UT,84606,1261 1500 Provo UT 84606,1261 1500 84606 provo ut,Condo
39613898-7a25-4b5b-9784-c43641ecd6d7,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1261 1500,,Provo,UT,84606,1261 1500 Provo UT 84606,1261 1500 84606 provo ut,Condo
70cac5ff-bc8b-4063-bee9-1dceb44967d4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1261 1500,,Provo,UT,84606,1261 1500 Provo UT 84606,1261 1500 84606 provo ut,Condo
063c7dc8-6202-41a7-9cf0-6b3861172a32,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1261 1500,,Provo,UT,84606,1261 1500 Provo UT 84606,1261 1500 84606 provo ut,Condo
adb24f8b-8faf-48ed-a486-26b7d21b1ab1,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1261 1500,,Provo,UT,84606,1261 1500 Provo UT 84606,1261 1500 84606 provo ut,Condo
b495f22f-c11e-463b-ab20-5bbab477d21b,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
1159fe4a-0725-4da3-8e4a-65d4bc85dc56,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
30365db9-d426-4fd1-b342-fda976b14271,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
87a09433-bc19-484b-84f7-4fd1b3ee7fb4,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
a9d790d1-3236-4c48-90e2-22420be9785d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
4803d5ed-e656-48f7-af4a-eeba81553efe,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
8e299144-1c0b-4825-a0f6-3157e9ef5069,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1341 Spring Creek Dr,,Provo,UT,84606,1341 Spring Creek Dr Provo UT 84606,1341 84606 creek dr provo spring ut,Condo
2ae45916-605a-47f3-a24d-a34f27c78cf5,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
bdd4dc34-751b-4ed2-9eb8-9cbd3d39aad3,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1096 1500,,Provo,UT,84606,1096 1500 Provo UT 84606,1096 1500 84606 provo ut,Condo
7a75b00d-8a0a-48c3-b2ce-0b73decd8a3c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
d187318e-1f52-464c-9f44-f149b041d1f0,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
e3081e95-9d74-4bb9-baa5-2e59b8e2b024,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
fe458f11-b20f-4daf-b6dd-cd588348feb6,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
bbfa8629-b81e-4e00-8499-b9189e3bae44,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
65ec252a-aa8d-45ca-bcde-6ef46e4b3e3d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1148 1500,,Provo,UT,84606,1148 1500 Provo UT 84606,1148 1500 84606 provo ut,Condo
fe5b4e81-8b1e-490d-94c1-0d9d225f7146,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
496a1cd3-8a8c-4f42-b323-7255b60e7b2d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
70a99feb-0aab-4244-ba36-3886f5a25cdf,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
1d61483a-8dc9-446f-941e-67862a6d474c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
3a19711d-e461-4892-b364-349a821c76e2,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
8fa93529-2436-44c1-ba26-08bf7665e5d5,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
913ccdd1-67e3-4997-b9e7-3739d35529ed,5c7aff2f-1a49-4dd3-a1fa-a7622f260133,1182 1500,,Provo,UT,84606,1182 1500 Provo UT 84606,1182 1500 84606 provo ut,Condo
